description,date_opened,date_closed,type,status,resolution
"Поздним вечером в заброшенном промышленном районе был найден мужчина с ножевыми ранениями. Очевидцы сообщили о громком крике и последующей тишине. Камеры наблюдения рядом не работали, но один прохожий видел фигуру, убегающую с места преступления. Тело лежало рядом с мусорным баком, и в его руке был зажат клочок бумаги с непонятными цифрами. У погибшего не было документов, но татуировка на запястье позволила его опознать. Полиция допросила местных бездомных, но никто не видел лица нападавшего.",2000-04-06,2001-01-26,убийство,закрыто,не раскрыто
"В элитном жилом комплексе пропал известный ювелир. Его квартира была взломана, а из сейфа исчезли драгоценности на сумму более 10 миллионов рублей. Соседи слышали странные звуки в ночь инцидента, но подумали, что это ремонт. Камеры зафиксировали неизвестного в маске, покидающего здание с кейсом. Позже кейс нашли в реке, но он был пуст. В деле фигурирует водитель, уволенный незадолго до кражи, у которого был мотив и доступ к информации. Охрана здания утверждает, что система безопасности в ту ночь дала сбой.",2021-03-12,,кража,открыто,не раскрыто
"В старом театре произошло возгорание во время ночной репетиции. Погибла одна актриса, еще двое получили ожоги. По словам свидетелей, незадолго до пожара видели незнакомого человека, пробравшегося в зал. Следствие установило, что очаг возгорания находился в гримерке, где находились легковоспламеняющиеся ткани. Пожарные заметили следы поджога. Руководство театра утверждает, что все системы безопасности работали исправно. Возникло подозрение в преднамеренном поджоге из-за конкуренции между труппами.",2002-06-30,2003-01-28,поджог,закрыто,раскрыто
"На окраине города был обнаружен автомобиль с телом мужчины в багажнике. Полиция установила, что смерть наступила от сильного удара по голове. Машина принадлежала другому человеку, который утверждает, что ее угнали за день до происшествия. Камеры наблюдения засекли машину на трассе, но номера были частично скрыты. Водителя пока не нашли. Выяснилось, что погибший был частным детективом, работавшим над делом о корпоративном мошенничестве. Следователи подозревают связь с его расследованием.",2012-07-05,,убийство,открыто,не раскрыто
"Во время митинга у здания городской администрации произошла драка, в результате которой один человек получил ножевое ранение. Свидетели утверждают, что нападение произошло после словесной перепалки между двумя группами. Подозреваемый скрылся в толпе до прибытия полиции. Пострадавший доставлен в больницу и находится в критическом состоянии. Камеры наблюдения частично зафиксировали момент атаки, но лицо нападавшего закрыто капюшоном. Полиция ищет очевидцев и анализирует видео с дронов.",2011-08-23,,нападение,открыто,не раскрыто
"Из музея современного искусства были похищены три ценные картины. Преступление произошло ночью: воры проникли через крышу, отключив сигнализацию. Полиция подозревает, что преступники действовали по наводке. Охрана заявила, что не заметила ничего подозрительного. Картины были застрахованы, но оценены более чем в 50 миллионов рублей. В базе данных полиции зафиксированы аналогичные ограбления в других городах, что может указывать на преступную группировку. Ведется расследование.",2014-08-25,,кража,открыто,не раскрыто
"Молодая женщина заявила о похищении: её удерживали в подвале загородного дома в течение трёх дней. Она сбежала, когда один из похитителей уснул. Женщина описала внешность преступников и детали интерьера дома. Полиция установила возможное местоположение по этим описаниям и провела обыск. Дом оказался заброшенным, но в нём нашли следы пребывания и ДНК-жертвы. Соседи слышали шумы, но не сообщили о них. Подозреваемые пока не установлены.",2019-10-19,2020-07-19,похищение,закрыто,раскрыто
"В бухгалтерии крупной компании выявлены махинации на сумму более 15 миллионов рублей. В ходе аудита обнаружены поддельные накладные и фиктивные платежи. В подозрении — главный бухгалтер, который уволился за неделю до начала проверки. Свидетели утверждают, что он часто оставался на работе допоздна. Его следы теряются за границей. Следствие выясняет, были ли сообщники внутри компании. Финансовые документы изъяты и направлены на экспертизу.",2024-04-28,2024-09-06,присвоение или растрата,закрыто,раскрыто
"В банке было зафиксировано несанкционированное проникновение в систему. Хакеры получили доступ к личным данным клиентов и попытались перевести деньги на анонимные счета. Попытка была остановлена, но ущерб составил около 5 миллионов рублей. Айтишник заметил аномалию и подал сигнал тревоги. Лог-файлы указывают на IP-адреса из разных стран. Сейчас ведётся киберэкспертиза и работа с международными структурами. Клиенты уведомлены о возможной утечке данных.",2015-02-19,,киберпреступность,открыто,не раскрыто
"На одном из вокзалов в багаже без присмотра обнаружили взрывное устройство. Пассажиры были эвакуированы, а сапёры его обезвредили. Камеры наблюдения засняли мужчину, оставившего чемодан. Его личность пока не установлена. Свидетели утверждают, что он вёл себя нервно и постоянно оглядывался. Обнаруженные компоненты взрывчатки идентичны тем, что использовались в предыдущих атаках. Следователи рассматривают версию о связи с террористической ячейкой.",2022-04-26,,терроризм,приостановлено,не раскрыто
